                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.9561,                 4.0258,                 4.1568,                0.00367,                0.68913,                0.01845,                0.00529,                 2.6328,                 3.6048,                 4.0101,                 0.0721,                 0.0031,                 0.0031
                      1,                 2.7741,                 3.8408,                 3.9753,                0.00355,                0.62897,                0.01288,                0.00376,                 2.5037,                 3.6378,                 3.8603,               0.043144,              0.0061441,              0.0061441
                      2,                 2.7295,                  3.598,                 3.7627,                0.00362,                0.64468,                0.03525,                0.01142,                 2.3388,                 3.5223,                 3.7331,                0.01403,              0.0090297,              0.0090297
                      3,                 2.6664,                 3.2678,                 3.5479,                0.47543,                0.15025,                0.09715,                 0.0293,                 2.0896,                 3.5328,                 3.4901,              0.0092575,              0.0092575,              0.0092575
                      4,                 2.6907,                   3.15,                 3.4434,                0.06804,                0.22297,                0.07258,                0.03495,                 2.0197,                 4.9342,                 3.0999,              0.0092575,              0.0092575,              0.0092575
                      5,                 2.4996,                 2.8258,                 3.2222,                0.49345,                0.11765,                0.11356,                0.06289,                 1.9726,                 5.9944,                 2.9516,                0.00901,                0.00901,                0.00901
                      6,                 2.3179,                 2.6641,                 2.9697,                0.61714,                0.14027,                0.21157,                0.13808,                 1.8442,                 3.9167,                 2.7875,              0.0087625,              0.0087625,              0.0087625
                      7,                 2.1058,                 2.4852,                 2.7976,                0.34397,                0.45314,                0.35528,                0.15968,                 2.0723,                  2.691,                 2.8765,               0.008515,               0.008515,               0.008515
                      8,                 1.9728,                 2.2854,                 2.5718,                0.49445,                0.49916,                0.54719,                0.26135,                 1.8706,                 1.9349,                 2.5303,              0.0082675,              0.0082675,              0.0082675
                      9,                 1.8252,                 2.1446,                 2.4717,                0.55068,                0.59869,                0.58951,                0.34206,                 1.4893,                  1.902,                 2.2209,                0.00802,                0.00802,                0.00802
                     10,                 1.7617,                 1.9726,                 2.3454,                0.65104,                0.67939,                0.71182,                0.46346,                 1.2423,                 1.4959,                 2.0065,              0.0077725,              0.0077725,              0.0077725
                     11,                 1.6429,                 1.7971,                  2.255,                0.58068,                0.73922,                0.70709,                0.44517,                 1.1259,                 1.7517,                 1.8832,               0.007525,               0.007525,               0.007525
                     12,                 1.5209,                 1.6735,                 2.1669,                0.86219,                0.74223,                0.83239,                0.57409,                 1.0827,                 1.0804,                 1.8163,              0.0072775,              0.0072775,              0.0072775
                     13,                 1.4527,                 1.5765,                 2.0877,                0.80887,                0.79415,                0.87006,                  0.602,                0.99037,                 1.1199,                 1.6838,                0.00703,                0.00703,                0.00703
                     14,                 1.4423,                 1.5432,                 2.0345,                 0.8356,                0.79767,                0.86722,                0.60593,                  1.113,                 1.0345,                 1.7468,              0.0067825,              0.0067825,              0.0067825
                     15,                 1.3373,                 1.3887,                 1.9269,                 0.7635,                0.81421,                0.84146,                0.59778,                0.95317,                 1.1036,                 1.6199,               0.006535,               0.006535,               0.006535
                     16,                 1.2915,                 1.3576,                 1.8941,                0.88027,                0.86612,                0.90905,                0.67207,                0.88557,                0.85309,                 1.5631,              0.0062875,              0.0062875,              0.0062875
                     17,                  1.265,                 1.3025,                 1.8548,                0.85452,                0.78336,                0.89728,                0.60401,                0.95016,                0.98397,                 1.5915,                0.00604,                0.00604,                0.00604
