                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.9961,                 4.2072,                 4.1825,                0.00159,                0.33333,                 0.0289,                0.00545,                  2.457,                 3.8146,                 4.0835,                 0.0865,                 0.0015,                 0.0015
                      1,                 2.9193,                 4.0152,                 4.0918,                 0.0016,                0.33333,                   0.01,                0.00277,                 2.3844,                 3.8233,                 4.0005,               0.072023,              0.0030233,              0.0030233
                      2,                  2.731,                 3.6497,                  3.974,                0.00162,                0.33598,                0.00901,                0.00302,                 2.3194,                 3.9015,                 3.9279,               0.057467,              0.0044673,              0.0044673
                      3,                 2.5639,                 3.3572,                 3.7747,                0.00164,                0.33598,                0.01395,                0.00392,                 2.2869,                 3.8738,                 3.8779,               0.042832,              0.0058322,              0.0058322
                      4,                 2.4485,                   3.09,                 3.5777,                0.00164,                0.33598,                0.02697,                0.00486,                 2.2666,                 3.8827,                 3.8583,               0.028118,              0.0071179,              0.0071179
                      5,                 2.4293,                  2.851,                 3.4271,                0.01208,                 0.9709,                0.21705,                0.04837,                 2.0931,                 3.2112,                  3.656,               0.013324,              0.0083244,              0.0083244
                      6,                 2.3392,                 2.5875,                 3.1996,                0.74273,                0.33333,                0.35601,                0.12951,                 2.0086,                 2.5869,                 3.2147,               0.008515,               0.008515,               0.008515
                      7,                 2.1921,                 2.3924,                 2.9995,                0.89214,                0.28204,                0.38201,                0.18614,                 1.8943,                 2.5739,                 2.8918,               0.008515,               0.008515,               0.008515
                      8,                 2.1801,                 2.2428,                 2.9123,                0.47229,                0.41676,                0.41675,                0.27487,                 1.9603,                 3.1022,                 3.1509,              0.0082675,              0.0082675,              0.0082675
                      9,                 2.0689,                 2.1055,                 2.7898,                 0.5886,                0.55556,                0.52538,                0.33091,                 1.5624,                 4.1741,                 2.6603,                0.00802,                0.00802,                0.00802
